,country,region,success
84,Iraq,Middle East & North Africa,20075
134,Pakistan,South Asia,12032
0,Afghanistan,South Asia,10023
80,India,South Asia,9480
35,Colombia,South America,7574
139,Peru,South America,5749
140,Philippines,Southeast Asia,5409
52,El Salvador,Central America & Caribbean,5227
188,United Kingdom,Western Europe,4107
183,Turkey,Middle East & North Africa,3760
179,Thailand,Southeast Asia,3460
159,Somalia,Sub-Saharan Africa,3221
130,Nigeria,Sub-Saharan Africa,3153
166,Spain,Western Europe,2814
167,Sri Lanka,South Asia,2811
200,Yemen,Middle East & North Africa,2644
2,Algeria,Middle East & North Africa,2554
60,France,Western Europe,2441
189,United States,North America,2274
33,Chile,South America,2208
99,Lebanon,Middle East & North Africa,2164
128,Nicaragua,Central America & Caribbean,1939
71,Guatemala,Central America & Caribbean,1936
175,Syria,Middle East & North Africa,1887
160,South Africa,Sub-Saharan Africa,1852
102,Libya,Middle East & North Africa,1833
147,Russia,Eastern Europe,1780
51,Egypt,Middle East & North Africa,1775
197,West Bank and Gaza Strip,Middle East & North Africa,1716
86,Israel,Middle East & North Africa,1657
13,Bangladesh,South Asia,1481
186,Ukraine,Eastern Europe,1479
87,Italy,Western Europe,1384
68,Greece,Western Europe,1092
123,Nepal,South Asia,846
170,Sudan,Sub-Saharan Africa,830
6,Argentina,South America,710
81,Indonesia,Southeast Asia,645
66,Germany,Western Europe,633
43,Democratic Republic of the Congo,Sub-Saharan Africa,588
83,Iran,Middle East & North Africa,586
27,Burundi,Sub-Saharan Africa,565
93,Kenya,Sub-Saharan Africa,513
4,Angola,Sub-Saharan Africa,480
198,West Germany (FRG),Western Europe,465
116,Mexico,North America,463
121,Myanmar,Southeast Asia,405
111,Mali,Sub-Saharan Africa,392
185,Uganda,Sub-Saharan Africa,358
90,Japan,East Asia,340
120,Mozambique,Sub-Saharan Africa,335
76,Honduras,Central America & Caribbean,285
149,Saudi Arabia,Middle East & North Africa,278
20,Bolivia,South America,273
28,Cambodia,Southeast Asia,242
23,Brazil,South America,234
194,Venezuela,South America,232
31,Central African Republic,Sub-Saharan Africa,221
29,Cameroon,Sub-Saharan Africa,221
34,China,East Asia,215
50,Ecuador,South America,202
65,Georgia,Central Asia,192
75,Haiti,Central America & Caribbean,185
201,Yugoslavia,Eastern Europe,179
177,Tajikistan,Central Asia,177
94,Kosovo,Eastern Europe,165
